"Cell age","Growth","Growth rate","Absolute position","Relative position"
6.13,3.463117,0.063346,84.263411,0.264368
6.13,7.219994,0.043373,91.285362,0.286398
6.13,5.47612,0.064402,151.429899,0.475096
6.13,4.037037,0.052845,158.757152,0.498084
6.13,4.339544,0.054084,161.810174,0.507663
6.13,5.170391,0.053872,166.389707,0.522031
6.13,4.80735,0.047917,170.663938,0.535441
6.13,3.695589,0.055874,175.243472,0.549808
6.13,4.534408,0.067297,174.938169,0.548851
6.13,4.716892,0.076439,183.791934,0.576628
6.13,4.224377,0.032812,196.004022,0.614943
6.13,5.614299,0.036378,206.994902,0.649425
7.72,4.088216,0.038395,64.990018,0.252144
7.72,3.372494,0.038639,74.053251,0.287307
7.72,3.545599,0.043176,77.369069,0.300172
7.72,3.668227,0.03409,82.895431,0.321612
7.72,4.227773,0.035521,91.295501,0.354202
7.72,2.415909,0.033459,86.432302,0.335334
7.72,2.517077,0.048902,92.842882,0.360206
7.72,4.097675,0.052916,99.253462,0.385077
7.72,3.544705,0.039213,108.537751,0.421098
7.72,5.028601,0.042944,103.232443,0.400515
7.72,6.492109,0.038765,118.264148,0.458834
7.72,6.478918,0.036447,117.158875,0.454545
7.72,5.550334,0.040282,120.253638,0.466552
7.72,3.638224,0.033538,129.095817,0.500858
7.72,5.240936,0.04133,131.527417,0.510292
7.72,4.144182,0.043991,127.76949,0.495712
7.72,4.627937,0.040221,132.411635,0.513722
7.72,4.869108,0.047399,143.906468,0.558319
7.72,4.737123,0.03205,152.527592,0.591767
7.72,1.542392,0.03113,152.748647,0.592624
7.72,4.610789,0.042401,161.590826,0.62693
7.72,2.923592,0.039565,159.601336,0.619211
10.47,10.892451,0.033905,48.422368,0.109107
10.47,7.162486,0.033388,34.816083,0.078449
10.47,10.416433,0.054413,50.023108,0.112714
10.47,4.668059,0.028549,48.822553,0.110009
10.47,5.312914,0.032338,107.249543,0.241659
10.47,4.681567,0.032286,110.851207,0.249775
10.47,4.138739,0.051044,118.454719,0.266907
10.47,6.755591,0.027585,119.255089,0.268711
10.47,5.420854,0.034699,124.057307,0.279531
10.47,4.5799,0.029698,135.262484,0.304779
10.47,3.584979,0.025497,137.263408,0.309288
10.47,4.545503,0.040957,137.663593,0.310189
10.47,4.341801,0.042129,141.265256,0.318305
10.47,5.486532,0.025108,148.468584,0.334536
10.47,7.566732,0.029895,146.867845,0.330929
10.47,2.844953,0.037087,151.670063,0.341749
10.47,3.554338,0.033052,152.070248,0.342651
10.47,9.083452,0.036521,161.2745,0.36339
10.47,3.986059,0.032669,163.675609,0.368801
10.47,5.04793,0.056297,166.476903,0.375113
10.47,6.312641,0.04112,173.280045,0.390442
10.47,4.857285,0.037146,174.080415,0.392245
10.47,8.082658,0.060931,176.481524,0.397656
10.47,7.885099,0.042197,177.281894,0.399459
10.47,5.604036,0.043561,182.484297,0.411181
10.47,5.344645,0.045985,186.886331,0.4211
10.47,7.102901,0.039451,190.08781,0.428314
10.47,3.943468,0.03303,198.091507,0.446348
10.47,6.356659,0.02784,192.488919,0.433724
10.47,5.213536,0.032962,209.696868,0.472498
10.47,3.327696,0.023822,208.496313,0.469793
10.47,4.361592,0.026313,213.298532,0.480613
10.47,3.114923,0.031206,220.902044,0.497746
10.47,4.767478,0.038796,232.10722,0.522994
10.47,7.179241,0.044994,231.707035,0.522092
10.47,6.853591,0.032288,279.329034,0.629396
10.47,7.080273,0.053329,292.935319,0.660054
10.57,1.276543,0.022189,152.70362,0.420495
10.57,4.538508,0.041167,155.91168,0.429329
10.57,5.714267,0.044004,164.57344,0.45318
10.57,6.204948,0.055482,166.819081,0.459364
10.57,5.140849,0.038874,180.613736,0.49735
10.57,2.410787,0.018361,205.315792,0.565371
10.57,9.022616,0.017711,310.540136,0.855124
10.57,2.211303,0.014502,332.034133,0.914311
10.96,11.680144,0.01748,77.728491,0.109623
10.96,10.851159,0.035718,94.935562,0.133891
10.96,6.498105,0.033316,111.549285,0.157322
10.96,3.871789,0.020441,119.262799,0.168201
10.96,6.509243,0.030124,118.076105,0.166527
10.96,16.306751,0.0351,126.976314,0.179079
10.96,5.569446,0.039107,131.723092,0.185774
10.96,6.11621,0.04146,148.930162,0.210042
10.96,4.959045,0.025772,163.763844,0.230962
10.96,5.106428,0.030403,208.264888,0.293724
10.96,10.27155,0.032769,205.298152,0.28954
10.96,3.036114,0.042999,217.758445,0.307113
10.96,5.96381,0.023765,223.09857,0.314644
10.96,8.162917,0.050357,226.658653,0.319665
10.96,6.40322,0.044736,228.438695,0.322176
10.96,3.076599,0.038235,227.845348,0.321339
10.96,5.276847,0.035704,227.845348,0.321339
10.96,5.17915,0.047984,235.558862,0.332218
10.96,6.179086,0.047582,245.645766,0.346444
10.96,5.07997,0.042066,249.799197,0.352301
10.96,5.534586,0.051184,256.919364,0.362343
10.96,8.796013,0.027064,258.699406,0.364854
10.96,5.336112,0.026265,260.479447,0.367364
10.96,3.38524,0.039097,259.8861,0.366527
10.96,5.341776,0.034254,261.072795,0.368201
10.96,7.1155,0.051778,266.41292,0.375732
10.96,3.740676,0.043076,269.379656,0.379916
10.96,6.939531,0.051202,271.159698,0.382427
10.96,3.546536,0.03767,269.973004,0.380753
10.96,4.850247,0.044677,270.566351,0.38159
10.96,7.521192,0.049623,275.906476,0.389121
10.96,4.748976,0.039963,274.126434,0.386611
10.96,7.680968,0.032688,281.246601,0.396653
10.96,4.649834,0.04292,284.213338,0.400837
10.96,5.667904,0.039275,283.61999,0.4
10.96,9.363989,0.055282,285.400032,0.40251
10.96,7.799041,0.039298,282.433296,0.398326
10.96,4.287289,0.023244,286.586727,0.404184
10.96,6.066563,0.032155,291.926852,0.411715
10.96,6.403905,0.042201,290.14681,0.409205
10.96,7.873094,0.044045,293.706894,0.414226
10.96,4.92008,0.045943,295.486936,0.416736
